reward,return,success
28.94,34.03,0.0
-18.6,19.4,0.0
-171.19,-35.76,0.0
18.14,18.68,0.0
7.84,23.17,0.0
-25.33,-2.66,0.0
-14.09,48.16,0.0
-4.08,9.76,0.0
4.01,6.8,0.0
-78.04,-15.75,0.0
-18.34,25.71,0.0
25.96,32.42,0.0
-14.47,2.69,0.0
-73.34,-41.87,0.0
-22.07,-0.68,0.0
-19.37,9.59,0.0
8.09,5.94,0.0
21.27,25.07,0.0
-13.26,45.2,0.0
-6.57,40.26,0.0
-35.01,10.95,0.0
-54.03,-20.54,0.0
-24.36,32.84,0.0
17.09,10.19,0.0
-14.75,13.42,0.0
-126.86,-23.2,0.0
12.95,22.17,0.0
-16.79,20.81,0.0
-0.29,24.74,0.0
-47.37,46.11,0.0
0.37,16.31,0.0
2.8,21.02,0.0
-41.8,-12.84,0.0
-50.68,25.27,0.0
-5.84,36.75,0.0
-13.22,5.65,0.0
25.71,19.46,0.0
-231.19,-97.63,0.0
-21.39,-4.9,0.0
-24.34,39.33,0.0
17.0,25.76,0.0
-70.04,-17.68,0.0
-54.11,-17.71,0.0
-28.02,30.89,0.0
63.0,26.79,0.0
-1.5,10.97,0.0
-5.66,49.83,0.0
-22.68,-7.37,0.0
-18.04,38.33,0.0
31.22,24.19,0.0
-5.79,34.13,0.0
-23.32,12.06,0.0
-212.4,-59.03,0.0
1.86,69.01,0.0
19.47,63.51,0.0
19.75,27.61,0.0
-39.57,6.69,0.0
0.5,4.11,0.0
-55.43,-28.53,0.0
20.24,19.25,0.0
-49.09,14.92,0.0
-53.89,-15.91,0.0
-60.77,-10.88,0.0
-221.05,42.6,0.0
-76.5,7.11,0.0
2.86,5.2,0.0
-18.96,-5.54,0.0
-19.3,17.6,0.0
-86.76,30.38,0.0
-80.67,-32.98,0.0
-19.06,-0.63,0.0
-4.31,14.49,0.0
-31.5,36.0,0.0
5.98,34.79,0.0
-39.24,-1.39,0.0
-21.3,63.26,0.0
18.39,41.26,0.0
-70.4,-21.14,0.0
-12.24,-0.29,0.0
22.01,8.19,0.0
14.7,26.93,0.0
-9.85,26.65,0.0
82.48,62.7,0.0
-24.41,0.08,0.0
-123.41,-5.53,0.0
-34.35,-2.93,0.0
-16.65,-10.94,0.0
-47.4,-16.56,0.0
32.57,54.79,0.0
-27.18,13.14,0.0
12.23,6.92,0.0
-13.33,61.48,0.0
18.78,54.11,0.0
-10.53,16.45,0.0
-21.36,24.97,0.0
-42.52,45.58,0.0
5.52,-0.17,0.0
-22.89,0.8,0.0
6.58,12.33,0.0
0.03,21.13,0.0
-96.49,-42.57,0.0
66.48,41.72,0.0
56.2,37.87,0.0
53.37,30.55,0.0
-21.22,23.07,0.0
58.13,82.94,0.0
25.73,16.72,0.0
127.71,48.54,0.0
57.34,62.99,0.0
51.61,57.25,0.0
35.97,39.47,0.0
-12.91,-2.73,0.0
77.27,46.23,0.0
-45.75,29.22,0.0
258.01,52.76,1.0
60.46,65.09,0.0
131.08,56.17,0.0
-34.46,31.4,0.0
139.84,45.48,0.0
79.84,40.77,0.0
-52.76,14.72,0.0
-47.99,-0.31,0.0
52.96,24.29,0.0
2.53,21.06,0.0
-52.23,2.78,0.0
-6.73,25.38,0.0
79.3,45.52,0.0
121.61,47.37,0.0
-8.94,9.91,0.0
92.59,25.51,0.0
57.77,41.66,0.0
-45.3,-13.3,0.0
88.98,31.77,0.0
7.03,24.28,0.0
118.96,63.2,0.0
51.87,71.45,0.0
10.37,11.39,0.0
100.07,40.69,0.0
-36.05,-7.88,0.0
130.22,56.12,0.0
74.41,34.21,0.0
128.3,76.02,0.0
126.44,83.81,0.0
48.85,65.97,0.0
34.32,25.99,0.0
-108.73,-39.88,0.0
23.69,26.59,0.0
77.05,32.64,0.0
96.83,30.44,0.0
127.05,73.39,0.0
57.43,36.11,0.0
128.15,73.39,0.0
-1.59,10.1,0.0
-40.83,-1.64,0.0
12.22,15.26,0.0
-25.16,14.33,0.0
143.15,51.37,0.0
68.97,36.93,0.0
96.46,54.13,0.0
-19.82,14.64,0.0
104.28,44.33,0.0
-17.3,10.84,0.0
161.42,64.17,0.0
91.39,33.98,0.0
124.36,51.87,0.0
122.74,60.66,0.0
183.51,50.92,0.0
2.11,3.07,0.0
123.19,59.28,0.0
-111.82,29.15,0.0
132.91,38.62,0.0
29.82,22.97,0.0
138.37,54.23,0.0
134.22,46.03,0.0
135.19,36.28,0.0
151.1,57.71,0.0
166.58,84.61,0.0
86.09,45.12,0.0
37.83,23.28,0.0
181.93,50.5,0.0
-238.71,-96.15,0.0
-45.11,5.1,0.0
-41.92,-21.46,0.0
132.61,41.13,0.0
-3.82,28.28,0.0
129.66,68.89,0.0
72.52,56.71,0.0
126.69,51.31,0.0
-27.02,-12.97,0.0
133.78,52.18,0.0
-247.06,-5.75,0.0
143.24,29.88,0.0
5.56,8.89,0.0
40.46,24.27,0.0
116.98,82.88,0.0
150.94,48.92,0.0
157.76,40.83,0.0
156.83,54.84,0.0
107.04,57.44,0.0
132.82,48.22,0.0
91.99,22.56,0.0
-60.22,-15.8,0.0
63.61,51.73,0.0
43.95,40.63,0.0
180.67,42.8,0.0
160.95,75.49,0.0
146.53,58.75,0.0
114.13,70.36,0.0
-5.08,10.22,0.0
-96.11,-40.09,0.0
-85.74,-5.92,0.0
4.35,25.49,0.0
-45.44,-22.75,0.0
-77.68,-1.47,0.0
19.91,13.21,0.0
178.33,49.44,0.0
231.51,41.01,1.0
45.37,31.39,0.0
28.95,37.2,0.0
22.68,17.11,0.0
129.37,56.76,0.0
115.13,38.3,0.0
167.05,26.67,0.0
-42.14,-22.14,0.0
-167.77,40.46,0.0
119.06,45.46,0.0
0.35,18.9,0.0
103.81,32.45,0.0
131.83,62.29,0.0
-54.36,46.01,0.0
80.72,52.81,0.0
-22.94,34.33,0.0
16.71,45.68,0.0
161.73,53.5,0.0
130.61,51.54,0.0
136.19,67.78,0.0
172.25,55.29,0.0
158.08,79.57,0.0
77.0,44.77,0.0
-20.45,0.98,0.0
-19.76,7.21,0.0
77.15,38.84,0.0
170.98,80.98,0.0
95.06,56.58,0.0
135.97,73.56,0.0
144.55,43.98,0.0
119.58,49.43,0.0
152.81,42.11,0.0
162.64,56.69,0.0
148.39,64.67,0.0
133.14,42.0,0.0
214.65,47.61,1.0
-146.64,39.79,0.0
113.28,40.23,0.0
131.43,35.17,0.0
70.86,31.97,0.0
90.2,30.84,0.0
-203.25,26.41,0.0
97.88,61.31,0.0
116.92,40.89,0.0
97.95,44.56,0.0
140.69,57.41,0.0
106.91,41.38,0.0
153.38,39.21,0.0
136.21,52.57,0.0
91.22,47.89,0.0
131.92,52.44,0.0
125.12,67.34,0.0
112.37,58.76,0.0
162.32,60.67,0.0
92.19,53.35,0.0
225.67,45.31,1.0
23.21,20.69,0.0
104.9,31.77,0.0
136.43,82.67,0.0
39.73,31.53,0.0
52.43,39.49,0.0
152.19,37.04,0.0
175.31,33.64,0.0
-3.32,7.13,0.0
21.6,16.02,0.0
211.38,67.1,1.0
108.88,44.69,0.0
119.56,57.52,0.0
75.36,52.36,0.0
126.12,47.08,0.0
39.9,39.03,0.0
270.1,42.1,1.0
145.28,53.12,0.0
-9.53,5.83,0.0
31.68,21.83,0.0
145.03,75.1,0.0
147.56,49.9,0.0
79.28,59.34,0.0
95.32,51.05,0.0
89.44,27.54,0.0
86.26,46.4,0.0
-68.34,-16.07,0.0
95.98,47.69,0.0
107.45,46.85,0.0
231.57,34.18,1.0
164.29,29.21,0.0
258.91,64.62,1.0
65.8,29.56,0.0
196.18,29.97,0.0
-154.17,61.4,0.0
104.98,30.48,0.0
171.79,86.98,0.0
137.69,28.88,0.0
130.1,43.54,0.0
33.89,36.38,0.0
131.3,62.28,0.0
289.19,47.68,1.0
49.98,33.38,0.0
266.72,44.81,1.0
26.77,20.32,0.0
215.65,41.11,1.0
27.92,31.47,0.0
82.91,38.02,0.0
-87.6,-37.14,0.0
16.5,14.66,0.0
20.03,13.07,0.0
-14.07,11.37,0.0
-40.82,-3.72,0.0
118.79,41.95,0.0
50.08,49.81,0.0
114.18,43.14,0.0
116.39,65.62,0.0
21.63,35.21,0.0
77.17,67.02,0.0
254.08,59.32,1.0
88.19,29.88,0.0
242.91,68.22,1.0
148.19,75.12,0.0
240.94,41.02,1.0
190.24,82.97,0.0
44.75,40.76,0.0
86.94,25.59,0.0
31.87,52.86,0.0
217.78,56.5,1.0
-195.3,9.4,0.0
218.78,27.57,1.0
243.98,66.07,1.0
94.97,32.32,0.0
105.63,30.49,0.0
94.26,32.55,0.0
80.78,53.59,0.0
82.17,47.91,0.0
135.22,69.62,0.0
111.56,62.23,0.0
245.13,50.18,1.0
134.69,36.15,0.0
-253.52,-34.93,0.0
94.31,31.99,0.0
151.18,79.22,0.0
261.13,49.66,1.0
36.42,49.41,0.0
76.8,30.3,0.0
112.27,53.17,0.0
127.4,70.14,0.0
230.49,55.82,1.0
49.41,38.89,0.0
143.93,63.96,0.0
209.6,34.34,1.0
250.57,52.26,1.0
-39.15,-17.37,0.0
22.47,18.13,0.0
162.63,45.78,0.0
42.77,41.56,0.0
125.68,48.34,0.0
128.83,69.4,0.0
111.03,37.44,0.0
155.87,38.71,0.0
177.05,80.02,0.0
125.06,65.66,0.0
143.06,40.52,0.0
123.28,50.45,0.0
261.16,58.81,1.0
140.5,52.51,0.0
-100.03,13.49,0.0
30.0,35.16,0.0
278.23,53.59,1.0
235.66,65.2,1.0
72.84,23.61,0.0
126.44,52.36,0.0
220.12,65.27,1.0
88.44,44.62,0.0
35.51,22.4,0.0
127.87,67.0,0.0
-123.24,69.18,0.0
270.29,64.74,1.0
144.3,63.97,0.0
89.85,33.55,0.0
3.46,14.45,0.0
256.67,89.07,1.0
285.52,59.74,1.0
97.58,38.47,0.0
134.94,57.15,0.0
127.97,42.62,0.0
253.4,53.4,1.0
235.07,51.71,1.0
119.17,42.97,0.0
22.17,24.02,0.0
102.4,46.83,0.0
209.77,38.02,1.0
122.46,50.61,0.0
261.55,57.87,1.0
-220.87,-14.83,0.0
272.58,51.09,1.0
236.91,45.01,1.0
132.04,64.51,0.0
130.1,67.04,0.0
136.02,39.19,0.0
17.62,14.38,0.0
171.46,45.24,0.0
183.92,32.74,0.0
244.46,50.25,1.0
-21.99,9.08,0.0
150.22,86.52,0.0
106.31,57.31,0.0
292.92,77.63,1.0
77.82,53.84,0.0
83.04,50.26,0.0
278.52,57.05,1.0
126.28,53.44,0.0
205.92,66.95,1.0
141.02,49.05,0.0
232.17,39.05,1.0
18.24,24.1,0.0
272.98,43.91,1.0
170.62,66.02,0.0
251.64,-33.5,1.0
249.16,52.68,1.0
252.67,51.96,1.0
-8.96,38.81,0.0
127.73,75.97,0.0
259.77,58.95,1.0
195.44,50.04,0.0
165.03,73.87,0.0
287.62,90.54,1.0
250.22,65.25,1.0
143.2,49.8,0.0
112.86,61.27,0.0
117.86,66.3,0.0
116.71,51.87,0.0
254.06,47.76,1.0
149.82,59.15,0.0
126.3,68.95,0.0
83.2,45.7,0.0
12.31,47.17,0.0
146.86,46.53,0.0
265.62,72.39,1.0
135.75,83.64,0.0
154.68,72.63,0.0
277.35,65.18,1.0
128.21,60.45,0.0
