reward,return,success
274.41,61.27,1.0
287.59,64.03,1.0
243.89,51.2,1.0
247.71,67.23,1.0
253.09,57.26,1.0
303.98,89.91,1.0
152.55,70.5,0.0
294.89,42.68,1.0
299.47,56.87,1.0
239.45,74.38,1.0
272.31,49.8,1.0
245.42,49.82,1.0
106.38,44.42,0.0
256.58,70.41,1.0
266.89,59.77,1.0
256.82,66.91,1.0
272.2,66.22,1.0
270.69,57.31,1.0
257.9,76.78,1.0
269.11,54.23,1.0
250.05,74.9,1.0
258.25,53.23,1.0
287.38,56.17,1.0
277.78,42.95,1.0
250.66,63.05,1.0
8.31,13.52,0.0
236.75,41.1,1.0
252.6,49.12,1.0
263.54,79.04,1.0
